predictor,condition,estimate,se,z,p,n_obs,n_subj,aic,bic,converged,p_fdr,sig_fdr,sig_unc
chosen_q_mag,stay,0.7786747525051266,0.19217139940835692,4.051980445073787,5.078591070035128e-05,3935,43,15639.947510806549,15658.780509289103,True,,True,True
chosen_q_mag,shift,0.523401695875663,0.20530371570956588,2.5494019631680525,0.010790784561271229,3985,43,16727.8525210495,16746.72339882317,True,,True,True
chosen_q_mag,rew_stay,1.6153384753285314,0.3209417756883973,5.033120016438325,4.825608017200092e-07,2035,43,8157.977266399135,8174.832019692765,True,,True,True
chosen_q_mag,rew_shift,0.3080637661433696,0.1331672102320115,2.3133605157504116,0.020702826050856236,1900,43,7477.670870165784,7494.319697661248,True,,True,True
chosen_q_mag,norew_stay,0.346131233293362,0.3090194890712033,1.1200951575374831,0.262673213975656,1473,43,6077.0828697460565,6092.968038995445,True,,False,False
chosen_q_mag,norew_shift,0.6421368477583099,0.2734696206492197,2.348110354027151,0.018868929955170005,2512,43,10653.406884847613,10670.893388430377,True,,True,True
is_reward,all,-0.034440666189044296,0.04209081670564308,-0.8182465650381847,0.41321641104642237,7920,43,32429.39067168464,32450.322111139067,True,,False,False
is_reward,stay,0.02869813176587052,0.05632529768836843,0.5095069701122394,0.6103969139415428,3935,43,15658.530880205097,15677.36387868765,True,,False,False
is_reward,shift,-0.09724244914677477,0.06250338580683448,-1.5557949044120698,0.11975687021979405,3985,43,16734.306474015815,16753.177351789487,True,,False,False
is_reward,rew_stay,0.17414135409256792,0.04520795962819199,3.85200649453713,0.00011715391505087685,2035,43,8181.196373736428,8198.051127030058,True,,True,True
is_reward,rew_shift,-0.1277766303766077,0.07921836939781178,-1.612967186120057,0.10675163701154207,1900,43,7478.935309139801,7495.584136635264,True,,False,False
is_reward,norew_stay,-0.00583428554821138,0.09900836738858869,-0.05892719678239858,0.9530100957859766,1473,43,6080.610725908424,6096.495895157812,True,,False,False
is_reward,norew_shift,-0.1509495158552769,0.08038839052440129,-1.8777526813334735,0.06041500620367745,2512,43,10657.840411285859,10675.326914868623,True,,False,False
reward_level_num,all,-0.21693653775650118,0.026924680454482902,-8.057162948442038,7.808552930972876e-16,7920,43,32366.292465430466,32387.223904884893,True,,True,True
reward_level_num,any_rew,-1.0071015323397627,0.0499468718757002,-20.163455578280786,2.0504926153359912e-90,3926,43,14498.439242055363,14517.265371179872,True,,True,True
reward_level_num,stay,-0.17955299050955467,0.03628206770860845,-4.948808098579042,7.466932093375554e-07,3935,43,15635.249202484494,15654.082200967048,True,,True,True
reward_level_num,shift,-0.25314151830488124,0.039604197969238024,-6.391784994648931,1.6396033942103676e-10,3985,43,16697.19254111546,16716.06341888913,True,,True,True
reward_level_num,rew_stay,-0.06820926161565874,0.03172495189181976,-2.1500193868929527,0.03155368130929516,2035,43,8185.119489909939,8201.97424320357,True,,True,True
reward_level_num,rew_shift,-0.28375332332349673,0.049150193895659604,-5.773188279294961,7.778544047702894e-09,1900,43,7449.433365072116,7466.08219256758,True,,True,True
reward_level_num,norew_stay,-0.1933126317989575,0.02082535080201591,-9.282563047160995,1.6544983098228063e-20,1473,43,6072.0499321733405,6087.935101422729,True,,True,True
reward_level_num,norew_shift,-0.28870534845073964,0.05116803113412279,-5.642299343001467,1.6779403711928982e-08,2512,43,10630.620861712516,10648.10736529528,True,,True,True
Earned,all,-2.8024787130840063,0.22058082357555264,-12.70499705122422,5.54715215719332e-37,7920,43,32266.93355938136,32287.864998835787,True,,True,True
Earned,low_rew,-778.4151618056685,,,,2370,43,7497.51493498974,7514.826870692128,True,,False,False
Earned,any_rew,-5.035507661698825,0.24973435937850172,-20.163455578280768,2.050492615336693e-90,3926,43,14495.220366230496,14514.046495355005,True,,True,True
Earned,stay,-2.5637765098980316,0.2973015832063375,-8.623487578667493,6.49452232782991e-18,3935,43,15581.774357386279,15600.607355868833,True,,True,True
Earned,shift,-3.03223249892012,0.32525366658758076,-9.322669689577914,1.1344910203866024e-20,3985,43,16647.42899184578,16666.29986961945,True,,True,True
Earned,rew_stay,-1.768536939775572,0.031105999425576365,-56.855171749325734,0.0,2035,43,8166.750490691185,8183.605243984815,True,,True,True
Earned,rew_shift,-3.2721874016547297,0.1617967717148598,-20.224058656877418,6.012705220478564e-91,1900,43,7411.554748021204,7428.203575516668,True,,True,True
Earned,norew_stay,-2.5921219669554865,0.5130980650861009,-5.051903609343202,4.3742844866123077e-07,1473,43,6052.003616219048,6067.888785468436,True,,True,True
Earned,norew_shift,-3.2944912439747425,0.056919226796053206,-57.88011238766833,0.0,2512,43,10597.083108825958,10614.569612408723,True,,True,True
Start_RT,all,-0.5834250940366269,0.0105485101281891,-55.308767489118914,0.0,7920,43,29845.936370091702,29866.86780954613,True,,True,True
Start_RT,high_rew,-0.595160087853657,0.02158674637025318,-27.570624940208475,2.5047207191598162e-167,1556,43,5879.084808131027,5895.134429245242,True,,True,True
Start_RT,no_rew,-0.6115825302229111,0.01564530775269944,-39.09047619196808,0.0,3994,43,15987.071307466766,16005.948953008692,True,,True,True
Start_RT,low_rew,-0.2998003915956672,0.023776021156942675,-12.609359220229516,1.875113472294931e-36,2370,43,7389.941428512157,7407.2533642145445,True,,True,True
Start_RT,any_rew,-0.5458712207137757,0.013814508479828964,-39.514342584886094,0.0,3926,43,13573.183045386802,13592.009174511311,True,,True,True
Start_RT,stay,-0.631099552067979,0.00025912092978231364,-2435.5406280695383,0.0,3935,43,13615.151801360003,13633.984799842558,True,,True,True
Start_RT,shift,-0.5254181239249258,0.017635255955342554,-29.79362053238313,4.725492888459531e-195,3985,43,15937.700146107345,15956.571023881019,True,,True,True
Start_RT,rew_stay,-0.7026282146709961,0.015988677889605063,-43.945360555909716,0.0,2035,43,6830.878907152015,6847.733660445645,True,,True,True
Start_RT,rew_shift,-0.5555428790071217,0.018424071065548508,-30.15310118109244,9.76776035366638e-200,1900,43,6741.203608315016,6757.85243581048,True,,True,True
Start_RT,norew_stay,-0.553285515031057,0.028287106144845843,-19.55963654245595,3.4150278906891294e-85,1473,43,5742.828535264052,5758.7137045134405,True,,True,True
Start_RT,norew_shift,-0.5104976446228088,0.02250381458645393,-22.684938265093088,6.309535937667573e-114,2512,43,10195.614630037948,10213.101133620712,True,,True,True
