predictor,channel,condition,estimate,se,z,p,n_obs,n_subj,aic,bic,converged,p_fdr,sig_fdr,sig_unc
abs_rpe_binary,P3,rew_shift,-0.11398433363308316,0.10679471026449099,-1.0673219052777627,0.28582649973353114,1900,43,11188.454123648771,11205.102951144236,True,,False,False
abs_rpe_binary,P3,norew_stay,-0.7270379371541118,0.35814406055355985,-2.030015340839038,0.042354979947040905,1473,43,8743.332133419546,8759.217302668934,True,,False,True
abs_rpe_binary,P3,norew_shift,-0.11146050012974264,0.26628534405432003,-0.4185754215110149,0.6755264554335068,2512,43,15095.287935583277,15112.774439166042,True,,False,False
abs_rpe_binary,P8,all,-0.33749402005118206,0.11332256566381163,-2.97817136484898,0.0028997380959206605,7963,43,53697.23124131582,53718.1789245926,True,,True,True
abs_rpe_binary,P8,high_rew,-0.3932816715656199,0.5354502006830825,-0.7344878591209866,0.4626514569565492,1580,43,10584.06694944974,10600.162489827802,True,,False,False
abs_rpe_binary,P8,no_rew,0.017372871548783395,0.31314040841968427,0.05547949444295137,0.9557564658497516,4011,43,27071.304645201722,27090.195032799034,True,,False,False
abs_rpe_binary,P8,low_rew,-0.7702360492717919,0.39792315978782505,-1.935640161488681,0.05291178793988717,2372,43,16028.02761789364,16045.342084173993,True,,False,False
abs_rpe_binary,P8,any_rew,-0.7101940934652798,0.3195001711330497,-2.222828522897827,0.02622736498664014,3952,43,26630.78627410774,26649.632205284342,True,,False,True
abs_rpe_binary,P8,stay,-0.9510657644639773,0.319667083799064,-2.975175777127548,0.002928207060670823,3935,43,26529.801090665398,26548.634089147952,True,,True,True
abs_rpe_binary,P8,shift,0.22925541444284078,0.312486374631299,0.7336493141927805,0.4631624972556757,3985,43,26868.059758313357,26886.93063608703,True,,False,False
abs_rpe_binary,P8,rew_stay,-1.1102736320906743,0.3987448036221986,-2.7844215698987083,0.005362328785739954,2035,43,13696.120376406809,13712.975129700439,True,,True,True
abs_rpe_binary,P8,rew_shift,-0.6376519440368549,0.36563268055611314,-1.743968682085559,0.08116455098147235,1900,43,12832.627373947973,12849.276201443437,True,,False,False
abs_rpe_binary,P8,norew_stay,-0.9224410974307798,0.5297674264284771,-1.7412189791463462,0.08164520168703197,1473,43,9895.133320825982,9911.01849007537,True,,False,False
abs_rpe_binary,P8,norew_shift,0.8315170291016731,0.03080319735062388,26.99450383792161,1.7146412766481462e-160,2512,43,16969.235027767394,16986.72153135016,True,,True,True
abs_rpe_binary,P7,all,0.107038193776261,0.2074776385786734,0.5159023136639046,0.6059226380721268,7963,43,52506.14817908811,52527.095862364884,True,,False,False
abs_rpe_binary,P7,high_rew,0.05093609504592943,0.5007962900589947,0.10171020843610695,0.9189866990114304,1580,43,10372.903793163105,10388.999333541167,True,,False,False
abs_rpe_binary,P7,no_rew,0.049446979276559694,0.29110167089139155,0.16986154399301986,0.86511902500032,4011,43,26486.158313633336,26505.048701230648,True,,False,False
abs_rpe_binary,P7,low_rew,0.2678292143517655,0.3678732616210052,0.7280475160700636,0.46658449999109886,2372,43,15655.84073369811,15673.155199978464,True,,False,False
abs_rpe_binary,P7,any_rew,0.16554394118725047,0.29600869717805545,0.5592536393877383,0.575988630342168,3952,43,26027.471385871686,26046.317317048288,True,,False,False
abs_rpe_binary,P7,stay,-0.19907813258187906,0.293987091839935,-0.6771662365716032,0.498300487190552,3935,43,25871.06897713913,25889.901975621684,True,,False,False
abs_rpe_binary,P7,shift,0.4070283683462135,0.29280513182538015,1.3900998449335666,0.16449856038683386,3985,43,26349.843112206778,26368.71398998045,True,,False,False
abs_rpe_binary,P7,rew_stay,-0.14344049415560964,0.2913558733299199,-0.49232058553075153,0.6224927298257552,2035,43,13417.825324312827,13434.680077606457,True,,False,False
abs_rpe_binary,P7,rew_shift,-0.2679054939609253,0.48146290563983246,-0.5564405706497711,0.5779097106516273,1900,43,12454.62896379138,12471.277791286844,True,,False,False
abs_rpe_binary,P7,norew_stay,0.28248343947092613,0.5042006463333999,0.5602599709563552,0.5753021266075078,1473,43,9749.610834388426,9765.496003637814,True,,False,False
abs_rpe_binary,P7,norew_shift,0.46614086119375114,0.29114602442936866,1.601055216561392,0.10936468994118598,2512,43,16606.07411887578,16623.560622458543,True,,False,False
abs_rpe_binary,Pz,all,-0.14532623567342307,0.16417945555372268,-0.8851669971939304,0.37606656927713855,7963,43,48779.389176386874,48800.33685966365,True,,False,False
abs_rpe_binary,Pz,high_rew,-0.18080534838011356,0.38165056945233317,-0.4737457843691113,0.6356812000849623,1580,43,9515.437650966034,9531.533191344097,True,,False,False
abs_rpe_binary,Pz,no_rew,0.03203759989697297,0.2305611781240049,0.13895487591472092,0.8894858068305828,4011,43,24616.710710700172,24635.601098297484,True,,False,False
abs_rpe_binary,Pz,low_rew,-0.4406296800626483,0.2972947119654376,-1.4821309035388235,0.1383054673578779,2372,43,14646.151823108019,14663.466289388372,True,,False,False
abs_rpe_binary,Pz,any_rew,-0.3298934215928431,0.2339803754400171,-1.4099191907545858,0.1585635453784051,3952,43,24169.773824469776,24188.619755646378,True,,False,False
abs_rpe_binary,Pz,stay,0.2026866660189025,0.23648328526074824,0.8570866469290574,0.3913970002787168,3935,43,24158.968544986925,24177.80154346948,True,,False,False
abs_rpe_binary,Pz,shift,-0.4809952184652075,0.228323618847217,-2.106638029362464,0.03514896766377671,3985,43,24368.35394326065,24387.22482103432,True,,False,True
abs_rpe_binary,Pz,rew_stay,0.5731066168643612,0.30212938346698215,1.8968913592179373,0.05784227811040951,2035,43,12567.942503715527,12584.797257009157,True,,False,False
abs_rpe_binary,Pz,rew_shift,-0.42371290990297983,0.38327521383174284,-1.1055056382774313,0.2689405526469888,1900,43,11588.852908136105,11605.50173563157,True,,False,False
abs_rpe_binary,Pz,norew_stay,-0.11145903678092708,0.03709131836572721,-3.004989892295564,0.002655896752656114,1473,43,8997.762083292644,9013.647252542032,True,,True,True
abs_rpe_binary,Pz,norew_shift,-0.6677567740667648,0.15742232429196798,-4.24181752537391,2.2171692774419497e-05,2512,43,15376.295072171193,15393.781575753957,True,,True,True
abs_rpe_mag,FCz,all,2.517946035365042,0.4255454191003593,5.916985408251374,3.278957704186012e-09,7963,43,48226.22114573834,48247.168829015114,True,,True,True
abs_rpe_mag,FCz,high_rew,0.6445769185688123,1.4542333175739983,0.44324174861026944,0.6575908846163616,1580,43,9542.355768892796,9558.451309270858,True,,False,False
abs_rpe_mag,FCz,no_rew,2.9170476781874455,0.5170181281906003,5.642060730822318,1.6802680602480648e-08,4011,43,24180.568425104444,24199.458812701756,True,,True,True
