subject,rpe_type,channel,r,p,z,n_trials,best_model
ARV_0015,rpe_rw,FCz,0.037220695948607864,0.6026412870747383,0.0372378985219543,198,wsls
ARV_0015,rpe_rw,Cz,0.025294184234393533,0.7235458846625198,0.025299580676693172,198,wsls
ARV_0015,rpe_rw,FC2,0.038395790593963364,0.5912303313042636,0.03841467546289906,198,wsls
ARV_0015,rpe_rw,FC1,0.15865183268634717,0.02558504393720871,0.16000341432703624,198,wsls
ARV_0015,rpe_rw,F4,0.14014371122284297,0.04892551284804419,0.14107216335440412,198,wsls
ARV_0015,rpe_rw,F5,0.103568660295672,0.1464958578582737,0.10394137059063026,198,wsls
ARV_0015,rpe_rw,C4,-0.0624187556571929,0.3823356275671873,-0.06250000894452917,198,wsls
ARV_0015,rpe_rw,C3,0.039699244258994744,0.5786895158994787,0.03972011973602011,198,wsls
ARV_0015,rpe_rw,P4,-0.11728424044809221,0.09985219784790365,-0.11782649437615765,198,wsls
ARV_0015,rpe_rw,P3,-0.07457502190876238,0.2964047908002371,-0.07471373308173354,198,wsls
ARV_0015,rpe_rw,P8,-0.13066631008739715,0.06652477131594188,-0.13141767415946412,198,wsls
ARV_0015,rpe_rw,P7,-0.05682167234858467,0.4265366744326973,-0.056882944514424105,198,wsls
ARV_0015,rpe_rw,Pz,-0.11174713017304287,0.11702618039006654,-0.11221579112702874,198,wsls
ARV_0015,abs_rpe_best,FCz,,,,198,wsls
ARV_0015,abs_rpe_best,Cz,,,,198,wsls
ARV_0015,abs_rpe_best,FC2,,,,198,wsls
ARV_0015,abs_rpe_best,FC1,,,,198,wsls
ARV_0015,abs_rpe_best,F4,,,,198,wsls
ARV_0015,abs_rpe_best,F5,,,,198,wsls
ARV_0015,abs_rpe_best,C4,,,,198,wsls
ARV_0015,abs_rpe_best,C3,,,,198,wsls
ARV_0015,abs_rpe_best,P4,,,,198,wsls
ARV_0015,abs_rpe_best,P3,,,,198,wsls
ARV_0015,abs_rpe_best,P8,,,,198,wsls
ARV_0015,abs_rpe_best,P7,,,,198,wsls
ARV_0015,abs_rpe_best,Pz,,,,198,wsls
ARV_0015,abs_rpe_rw,FCz,0.03407211642739608,0.6336897169604179,0.0340853104957596,198,wsls
ARV_0015,abs_rpe_rw,Cz,-0.04779537611025219,0.5037094437525655,-0.04783182062908678,198,wsls
ARV_0015,abs_rpe_rw,FC2,0.048065832453576984,0.5012955359334508,0.0481028997357203,198,wsls
ARV_0015,abs_rpe_rw,FC1,0.045130098536260994,0.5278196789303488,0.04516077524494568,198,wsls
ARV_0015,abs_rpe_rw,F4,0.031116402967098344,0.6634319517002795,0.031126451422427006,198,wsls
ARV_0015,abs_rpe_rw,F5,0.007330293347410299,0.9183640431113046,0.0073304246450175475,198,wsls
ARV_0015,abs_rpe_rw,C4,-0.0010121850544568985,0.9887082907593816,-0.0010121854001245774,198,wsls
ARV_0015,abs_rpe_rw,C3,0.055058251363585366,0.4410522187779718,0.05511398750465448,198,wsls
ARV_0015,abs_rpe_rw,P4,-0.03396320188569048,0.6347756995232966,-0.03397626977189635,198,wsls
ARV_0015,abs_rpe_rw,P3,-0.039088814015599695,0.5845471564810064,-0.0391087406807667,198,wsls
ARV_0015,abs_rpe_rw,P8,-0.050237963953201493,0.4821311770416216,-0.05028029248268978,198,wsls
ARV_0015,abs_rpe_rw,P7,0.005081019471088967,0.9433626915821076,0.005081063196917777,198,wsls
ARV_0015,abs_rpe_rw,Pz,-0.011572765805956583,0.8714494787970911,-0.011573282490107103,198,wsls
ARV_0015,rpe_rw_reward,FCz,0.06143514524380745,0.5607294757081425,0.061512611834535366,92,wsls
ARV_0015,rpe_rw_noreward,FCz,-0.008945488287673239,0.9274852544143392,-0.008945726910371397,106,wsls
ARV_0015,rpe_rw_reward,Cz,0.015566574889241541,0.8829135521287141,0.01556783242716275,92,wsls
ARV_0015,rpe_rw_noreward,Cz,0.09363766140873828,0.3397154346865636,0.09391278225817039,106,wsls
ARV_0016,rpe_best,FCz,,,,174,random
ARV_0016,rpe_best,Cz,,,,174,random
ARV_0016,rpe_best,FC2,,,,174,random
ARV_0016,rpe_best,FC1,,,,174,random
ARV_0016,rpe_best,F4,,,,174,random
ARV_0016,rpe_best,F5,,,,174,random
ARV_0016,rpe_best,C4,,,,174,random
ARV_0016,rpe_best,C3,,,,174,random
ARV_0016,rpe_best,P4,,,,174,random
ARV_0016,rpe_best,P3,,,,174,random
ARV_0016,rpe_best,P8,,,,174,random
ARV_0016,rpe_best,P7,,,,174,random
ARV_0016,rpe_best,Pz,,,,174,random
ARV_0016,rpe_rw,FCz,-0.07941386743882309,0.2975802304325353,-0.07958144483497225,174,random
ARV_0016,rpe_rw,Cz,-0.007978571184433602,0.9167823565614693,-0.007978740489792935,174,random
ARV_0016,rpe_rw,FC2,-0.022885839306275742,0.7643691496664038,-0.02288983613729803,174,random
ARV_0016,rpe_rw,FC1,-0.12215459376209155,0.10833216391754533,-0.12276767873036741,174,random
ARV_0016,rpe_rw,F4,-0.12481397462464311,0.1008045171887399,-0.12546824044309846,174,random
ARV_0016,rpe_rw,F5,-0.16770551793261165,0.02697132151987191,-0.1693048417757751,174,random
ARV_0016,rpe_rw,C4,0.021970802811398866,0.7735299850314423,0.021974339056297174,174,random
ARV_0016,rpe_rw,C3,-0.04358551721558307,0.5679589996406784,-0.043613148480334665,174,random
ARV_0016,rpe_rw,P4,0.11413970510075283,0.13370264265317047,0.11463928184059614,174,random
ARV_0016,rpe_rw,P3,0.040990824440257576,0.5912436987615721,0.04101380585939859,174,random
ARV_0016,rpe_rw,P8,0.1486649197408522,0.05025541718253379,0.14977490383954875,174,random
ARV_0016,rpe_rw,P7,0.06125086841227044,0.4220411425184514,0.06132763895609442,174,random
ARV_0016,rpe_rw,Pz,0.060768542319081596,0.4257118741513908,0.06084351083937771,174,random
ARV_0016,abs_rpe_best,FCz,,,,174,random
ARV_0016,abs_rpe_best,Cz,,,,174,random
ARV_0016,abs_rpe_best,FC2,,,,174,random
ARV_0016,abs_rpe_best,FC1,,,,174,random
ARV_0016,abs_rpe_best,F4,,,,174,random
ARV_0016,abs_rpe_best,F5,,,,174,random
ARV_0016,abs_rpe_best,C4,,,,174,random
ARV_0016,abs_rpe_best,C3,,,,174,random
ARV_0016,abs_rpe_best,P4,,,,174,random
ARV_0016,abs_rpe_best,P3,,,,174,random
ARV_0016,abs_rpe_best,P8,,,,174,random
ARV_0016,abs_rpe_best,P7,,,,174,random
ARV_0016,abs_rpe_best,Pz,,,,174,random
ARV_0016,abs_rpe_rw,FCz,0.029050139502263945,0.7035624298979252,0.029058315549510397,174,random
ARV_0016,abs_rpe_rw,Cz,-0.002035085603484072,0.9787379679348049,-0.00203508841297653,174,random
ARV_0016,abs_rpe_rw,FC2,-0.020178604492011355,0.7915622701406015,-0.0201813439096516,174,random
ARV_0016,abs_rpe_rw,FC1,0.024580851422312495,0.747486570393944,0.024585803950945864,174,random
ARV_0016,abs_rpe_rw,F4,0.06713384729074538,0.378768918142161,0.06723497727975546,174,random
ARV_0016,abs_rpe_rw,F5,0.009985897895812813,0.8959518209299365,0.009986229840784278,174,random
ARV_0016,abs_rpe_rw,C4,0.015263977148858555,0.8415540351421269,0.015265162760852874,174,random
ARV_0016,abs_rpe_rw,C3,0.021261022741631684,0.7806575785549955,0.021264227158521665,174,random
ARV_0016,abs_rpe_rw,P4,0.006432703985385845,0.9328636589451195,0.006432792715334184,174,random
ARV_0016,abs_rpe_rw,P3,0.007828027568585503,0.9183470507034087,0.00782818746979646,174,random
ARV_0016,abs_rpe_rw,P8,-0.10962248326933284,0.14988420431653116,-0.11006479120196547,174,random
ARV_0016,abs_rpe_rw,P7,-0.07488217115404892,0.3260881982193288,-0.07502260719471421,174,random
ARV_0016,abs_rpe_rw,Pz,0.10180706023683991,0.1813128383832862,0.10216099636762599,174,random
ARV_0016,rpe_rw_reward,FCz,0.019966362333670475,0.8460850933055173,0.019969016202704592,97,random
