subject,rpe_type,condition,channel,r,p,z,n_trials
ARV_0033,rpe_binary,stay,C4,-0.11451714331513459,0.28805157358356115,-0.11502171889006549,88
ARV_0033,rpe_binary,stay,C3,0.23886361488172803,0.02500989832185515,0.2435686193532987,88
ARV_0033,rpe_binary,stay,P4,0.007379928040620827,0.9455938605218006,0.0073800620235039615,88
ARV_0033,rpe_binary,stay,P3,0.13262318359401593,0.21803256394307452,0.1334090597342173,88
ARV_0033,rpe_binary,stay,P8,-0.19628282660704469,0.06682609798296696,-0.19886347537274784,88
ARV_0033,rpe_binary,stay,P7,-0.026104025973145935,0.8092317264757829,-0.026109957668477207,88
ARV_0033,rpe_binary,stay,Pz,0.0321417731051179,0.7662510599854891,0.03215284845751794,88
ARV_0033,rpe_binary,shift,FCz,0.06482769310559536,0.5805534859886424,0.06491873839204004,75
ARV_0033,rpe_binary,shift,Cz,0.29297179759761544,0.010746609066767042,0.3018140057932026,75
ARV_0033,rpe_binary,shift,FC2,-0.03558834359211899,0.7617957046513861,-0.03560337959053968,75
ARV_0033,rpe_binary,shift,FC1,0.11712909567540333,0.3169329640321931,0.11766918863071021,75
ARV_0033,rpe_binary,shift,F4,0.0951974473327718,0.416542422564555,0.09548659857305214,75
ARV_0033,rpe_binary,shift,F5,-0.1340429471744327,0.2515753363782512,-0.13485452055295685,75
ARV_0033,rpe_binary,shift,C4,-0.022510818035807113,0.8479777508096316,-0.02251462154656594,75
ARV_0033,rpe_binary,shift,C3,-0.15801453736512902,0.17574108696431223,-0.1593497315480047,75
ARV_0033,rpe_binary,shift,P4,0.037364283040997245,0.7502873884497115,0.037381685583539576,75
ARV_0033,rpe_binary,shift,P3,-0.16624661192589937,0.15401353870486276,-0.16780409308880692,75
ARV_0033,rpe_binary,shift,P8,0.06873963116464067,0.5578769861698218,0.06884820720901019,75
ARV_0033,rpe_binary,shift,P7,-0.11998731966299969,0.3051849522525469,-0.12056816282664187,75
ARV_0033,rpe_binary,shift,Pz,-0.14216791017942793,0.22370989864641264,-0.1431375151310628,75
ARV_0033,rpe_mag,all,FCz,-0.09303983600361557,0.23603725164680228,-0.09330970273204138,164
ARV_0033,rpe_mag,all,Cz,0.04906686296641601,0.5326721197826397,0.04910629703645018,164
ARV_0033,rpe_mag,all,FC2,-0.09971778124092315,0.20393791129811645,-0.10005028639596893,164
ARV_0033,rpe_mag,all,FC1,-0.03585354331214412,0.6485452907323953,-0.03586891813554213,164
ARV_0033,rpe_mag,all,F4,-0.08463393867894503,0.28126247448212205,-0.08483688652711767,164
ARV_0033,rpe_mag,all,F5,-0.07060425348790259,0.36898218250194836,-0.07072192545051154,164
ARV_0033,rpe_mag,all,C4,-0.10134480007808033,0.19661807990055594,-0.10169391702992478,164
ARV_0033,rpe_mag,all,C3,0.0469278215020305,0.550706677765699,0.046962315560724,164
